REP_PERIOD,FUND_TYP,COD_BUDGET,COD_CONS_EK,COD_CONS_EK_NAME,ZAT_AMT,PLANS_AMT,FAKT_AMT,FAKT_V2MB_AMT,FAKTSIK_AMT,FAKTSIK_V2MB_AMT,FAKTSPP_AMT,FAKTSPP_V2MB_AMT,FAKTSID_AMT,FAKTSID_V2MB_AMT,CITY
2021-01-31,T,26000000000,3122,Капітальне будівництво (придбання) інших об'єктів,25433500,25433500,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,3160,Придбання землі та нематеріальних активів,4631000,4631000,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2274,Оплата природного газу,107220,107670,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,T,26000000000,2120,Нарахування на оплату праці,3889310787,3875453468.34,254602938.14,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2111,Заробітна плата,17289105099,17213392059,1087282328.6,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2800,Інші поточні видатки,61342489,61384610.05,469331.16,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,3142,Реконструкція та реставрація інших об'єктів,322120700,275620700,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2240,Оплата послуг (крім комунальних),2901708551,2885534752.53,2639428.89,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,3142,Реконструкція та реставрація інших об'єктів,322120700,275620700,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,T,26000000000,2111,Заробітна плата,17679866394,17602588243.22,1097577393.38,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,13563000000,2271,Оплата теплопостачання,208704094,208706714.18,20314673.83,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2210,"Предмети, матеріали, обладнання та інвентар",135182515,135052915,8816756.76,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2274,Оплата природного газу,396128,396528,0,NA,0,NA,0,NA,0,NA,Lviv
2021-01-31,T,13563000000,3110,Придбання обладнання і предметів довгострокового користування,2796800,2933726.84,0,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,S,13563000000,2230,Продукти харчування,72050824,74020508.78,4824988.46,NA,0,NA,4812503.24,NA,12485.22,NA,Lviv
2021-01-31,S,13563000000,3122,Капітальне будівництво (придбання) інших об'єктів,1534274800,1534274800,4008,NA,0,NA,4008,NA,0,NA,Lviv
2021-01-31,S,13563000000,3210,"Капітальні трансферти підприємствам (установам, організаціям)",523400000,523400000,18783610.16,18783610.16,18783610.16,18783610.16,0,0,0,0,Lviv
2021-01-31,T,13563000000,2730,Інші виплати населенню,255626798,255696398,2993914.66,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2274,Оплата природного газу,26106103,25901903,1393060.81,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,C,13563000000,2274,Оплата природного газу,25709975,25505375,1393060.81,NA,NA,NA,NA,NA,NA,NA,Lviv
2021-01-31,T,13563000000,2111,Заробітна плата,3695826350,3686540607.55,156693034.22,NA,NA,NA,NA,NA,NA,NA,Lviv
