CITY,REP_PERIOD,income,expense,core_income,op_surplus
Lviv,2022-05-31,5073.72314704,3149.2084031599998,4380.524198939999,1924.5147438800004
Lviv,2022-06-30,6308.36085379,3904.91954425,5344.477638810001,2403.44130954
Lviv,2022-07-31,7522.78842819,4565.6485944099995,6460.20768619,2957.13983378
Lviv,2022-08-31,8653.586344059999,5148.94707563,7512.21400266,3504.639268429999
Lviv,2022-09-30,9714.92305996,5852.23374083,8461.97711238,3862.6893191299996
Lviv,2022-10-31,11025.71134008,6685.60777454,9647.49685607,4340.103565540001
Lviv,2022-11-30,12259.523371890002,7544.917517440001,10753.49898602,4714.605854450001
Lviv,2022-12-31,13623.352628319999,9275.63688367,11991.07634134,4347.715744649999
Lviv,2023-01-31,1202.9044254299997,513.76393293,1090.54402543,689.1404924999997
Lviv,2023-02-28,2439.4064527600003,1428.8889198299998,2208.9303997600005,1010.5175329300005
Lviv,2023-03-31,3580.8536558600003,2445.8310280100004,3221.11862393,1135.02262785
Lviv,2023-04-30,4870.77146952,3335.02062721,4389.76291528,1535.7508423100003
Lviv,2023-05-31,6207.43227887,4273.95672961,5573.36130678,1933.4755492599998
Lviv,2023-06-30,7651.63233033,5459.16798017,6711.74739735,2192.4643501599994
Lviv,2023-07-31,9045.70710276,6364.60112429,8032.098600939999,2681.105978469999
Lviv,2023-08-31,10312.20485393,7167.421371980001,9237.70539035,3144.7834819499985
Lviv,2023-09-30,11536.39294918,8050.05925567,10264.50970368,3486.3336935100006
Lviv,2023-10-31,13053.45086884,9123.205931100001,11590.55016359,3930.244937739999
Lviv,2023-11-30,14193.91324056,10238.9102711,12606.1800309,3955.00296946
Lviv,2023-12-31,15519.853006959998,12199.67477894,13759.821737690001,3320.1782280199986
Lviv,2024-01-31,1289.84765822,491.65507567,1163.41377053,798.1925825500001
Lviv,2024-02-29,2673.36988868,1433.7268256700002,2418.7939736900003,1239.6430630099997
Lviv,2024-03-31,3770.9579959099997,2401.05283361,3379.6895909200002,1369.9051622999996
Lviv,2024-04-30,5368.56211816,3314.8813959500003,4804.92183108,2053.6807222099997
Lviv,2024-05-31,6830.65916879,4301.50840429,6103.19980967,2529.1507645
Lviv,2024-06-30,8268.30855835,5634.25155367,7179.51634141,2634.0570046799994
Lviv,2024-07-31,9836.21811474,6572.114802259999,8628.26511412,3264.1033124800015
Mukachevo,2021-01-31,69.46171712,46.301995579999996,52.999617119999996,23.159721540000007
Mukachevo,2021-02-28,155.59271851,120.22318584,120.05441851,35.36953267
Mukachevo,2021-03-31,242.77102468,199.47936306,187.40172468,43.29166162000001
Mukachevo,2021-04-30,327.75051962,279.75340292000004,252.23741962,47.997116699999935
Mukachevo,2021-05-31,424.99014754,364.59732916,323.84404754,60.392818379999994
Mukachevo,2021-06-30,550.17828912,484.12122869,400.07368912,66.05706043000004
Mukachevo,2021-07-31,636.25537218,558.17465705,475.82067218000003,78.08071513000004
Mukachevo,2021-08-31,729.24944349,633.46609453,553.04773349,95.78334896000001
Mukachevo,2021-09-30,823.69733823,712.9685236,621.6990282300001,110.72881462999999
Mukachevo,2021-10-31,931.1728703199999,794.5406611000001,706.3830603199999,136.63220921999982
Mukachevo,2021-11-30,1041.40866549,876.81257718,787.4542090799999,164.59608831000003
Mukachevo,2021-12-31,1164.91280548,1048.54264282,879.79147048,116.37016266
Mukachevo,2022-01-31,84.57347517,53.233053840000004,61.82707517,31.34042132999999
Mukachevo,2022-02-28,188.2025649,125.45159653,142.6024649,62.750968369999995
Mukachevo,2022-03-31,294.22709258,215.14313963,225.77329258,79.08395294999997
Mukachevo,2022-04-30,454.50394722,315.99352183999997,363.19644722,138.51042538000002
Mukachevo,2022-05-31,647.23385442,421.41954174,527.20335442,225.81431267999994
