REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,C,04576000000,600000,Фінансування за активними операціями,-1894193357,-562914966.21,Dnipro
2021-01-31,S,04576000000,602000,Зміни обсягів бюджетних коштів,1894193357,99737652.79,Dnipro
2021-01-31,S,04576000000,602100,На початок періоду,0,157456218.68,Dnipro
2021-01-31,C,04576000000,602200,На кінець періоду,0,539421340.53,Dnipro
2021-01-31,S,04576000000,602300,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,T,04576000000,400000,Фінансування за борговими операціями,-644140386,-46616649.67,Dnipro
2021-01-31,T,04576000000,401000,Запозичення,33004656,9807920,Dnipro
2021-01-31,T,04576000000,402000,Погашення,-677145042,-56424569.67,Dnipro
2021-01-31,C,04576000000,602000,Зміни обсягів бюджетних коштів,-1894193357,-562914966.21,Dnipro
2021-01-31,C,04576000000,602100,На початок періоду,0,82260661.59,Dnipro
2021-01-31,S,04576000000,602304,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,S,04576000000,600000,Фінансування за активними операціями,1894193357,99737652.79,Dnipro
2021-01-31,S,09533000000,401000,Запозичення,668170000,141925.61,Ivano-Frankivsk
2021-01-31,T,09533000000,402202,Середньострокові зобов'язання,-32000000,0,Ivano-Frankivsk
2021-01-31,T,09533000000,401102,Середньострокові зобов'язання,500000000,0,Ivano-Frankivsk
2021-01-31,S,09533000000,401200,Зовнішні запозичення,168170000,141925.61,Ivano-Frankivsk
2021-01-31,T,09533000000,401200,Зовнішні запозичення,168170000,141925.61,Ivano-Frankivsk
2021-01-31,T,09533000000,401202,Середньострокові зобов'язання,168170000,141925.61,Ivano-Frankivsk
2021-01-31,T,09533000000,402100,Внутрішні зобов'язання,-100000000,0,Ivano-Frankivsk
2021-01-31,C,09533000000,600000,Фінансування за активними операціями,-359232200,-62999845.43,Ivano-Frankivsk
2021-01-31,S,09533000000,602000,Зміни обсягів бюджетних коштів,359232200,3519043.87,Ivano-Frankivsk
2021-01-31,C,09533000000,602200,На кінець періоду,0,128882633.44,Ivano-Frankivsk
2021-01-31,T,09533000000,602300,Інші розрахунки,0,-30806.29,Ivano-Frankivsk
2021-01-31,S,09533000000,401100,Внутрішні запозичення,500000000,0,Ivano-Frankivsk
2021-01-31,S,09533000000,600000,Фінансування за активними операціями,359232200,3519043.87,Ivano-Frankivsk
2021-01-31,T,09533000000,402000,Погашення,-132000000,0,Ivano-Frankivsk
2021-01-31,T,09533000000,402102,Середньострокові зобов'язання,-100000000,0,Ivano-Frankivsk
2021-01-31,T,09533000000,402200,Зовнішні зобов'язання,-32000000,0,Ivano-Frankivsk
